Row ID,City,Customer Age,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price,Zip Code
4031,McKeesport,,Jessica Myrick,Small Business,0.1,1,01/01/2012,28774,High,32,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-111.8,East,180.36,02/01/2012,Regular Air,4.69,Pennsylvania,5.98,15131
1914,Bowie,,Matt Collister,Home Office,0.08,1,01/01/2012,13729,Not Specified,9,,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,-342.91,East,872.48,03/01/2012,Express Air,35,Maryland,95.99,20715
5272,Napa,,Alan Schoenberger,Corporate,0,1,02/01/2012,37537,Low,4,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,-193.08,West,1239.06,02/01/2012,Delivery Truck,48.8,California,291.73,94559
6225,Montebello,,Elizabeth Moffitt,Consumer,0.08,1,02/01/2012,44069,Critical,43,0.39,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,247.79,West,614.8,02/01/2012,Regular Air,1.97,California,15.04,90640
5273,Napa,,Alan Schoenberger,Corporate,0.07,1,02/01/2012,37537,Low,43,0.69,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,-1049.85,West,4083.19,04/01/2012,Delivery Truck,45,California,100.98,94559
6224,Montebello,,Elizabeth Moffitt,Consumer,0.09,1,02/01/2012,44069,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,26.71,West,137.63,04/01/2012,Express Air,2.15,California,9.11,90640
1279,Prior Lake,,David Philippe,Consumer,0.06,1,02/01/2012,9285,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,-11.937,Central,124.81,04/01/2012,Regular Air,2.99,Minnesota,40.98,55372
5274,Napa,,Alan Schoenberger,Corporate,0.05,1,02/01/2012,37537,Low,32,0.59,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,1438.49,West,4902.38,09/01/2012,Regular Air,7.07,California,155.06,94559
5705,Phenix City,,Patrick Jones,Home Office,0.09,1,03/01/2012,40354,High,4,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-93.16,South,698,04/01/2012,Delivery Truck,52.2,Alabama,212.6,36869
1336,Draper,,Larry Tron,Home Office,0.05,1,03/01/2012,9762,High,12,0.78,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-146.05,West,262.76,04/01/2012,Regular Air,21.2,Utah,20.98,84020
5704,Phenix City,,Patrick Jones,Home Office,0.03,1,03/01/2012,40354,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,12.5545,South,172.51,04/01/2012,Regular Air,2.99,Alabama,5.58,36869
1074,Lake Oswego,,Alex Russell,Home Office,0.03,1,03/01/2012,7909,High,29,0.44,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,24.55,West,122.23,04/01/2012,Regular Air,1.2,Oregon,4.26,97035
4223,Kearney,,Bill Donatelli,Corporate,0.03,1,03/01/2012,30016,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-41.58,Central,85.56,05/01/2012,Regular Air,5.66,Nebraska,5.28,68847
1663,Layton,,Ann Steele,Corporate,0,1,03/01/2012,11972,Not Specified,4,0.59,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,-452.2695,West,896.49,05/01/2012,Delivery Truck,14.7,Utah,213.45,84041
1315,Baton Rouge,,Andy Reiter,Corporate,0.08,1,03/01/2012,9637,Low,12,0.66,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,-236.43,South,522.49,05/01/2012,Regular Air,16.71,Louisiana,43.22,70802
4224,Kearney,,Bill Donatelli,Corporate,0.01,1,03/01/2012,30016,Critical,8,0.57,Technology,Small Box,T18,Telephones and Communication,-212.553,Central,754.6555,06/01/2012,Regular Air,2.5,Nebraska,110.99,68847
1317,Baton Rouge,,Andy Reiter,Corporate,0.04,1,03/01/2012,9637,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,32.44,South,123.76,07/01/2012,Regular Air,2.27,Louisiana,10.14,70802
1316,Baton Rouge,,Andy Reiter,Corporate,0.05,1,03/01/2012,9637,Low,49,0.37,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,14440.39,South,28359.4,10/01/2012,Regular Air,24.49,Louisiana,574.74,70802
6953,Bryan,,Dave Hallsten,Home Office,0.06,1,04/01/2012,49730,High,3,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,-394.69,Central,1039.56,05/01/2012,Delivery Truck,30,Texas,350.98,77803
1193,Pharr,,Tamara Dahlen,Corporate,0.03,1,04/01/2012,8710,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-76.015,Central,63.34,05/01/2012,Regular Air,6.27,Texas,3.36,78577
